# === TILT-CONTRACT-MANIFEST ===
# task_id: C04
# spec_version: V1.3
# ssot_checksum: TL-SSOT-2026-09-20-A
# baseline_version: B1.0
# produced_by: 元宝（Yuanbao）
# produced_at: 2026-09-20
# batch: all
# output_files:
#   - resources.csv   (rows: 227)
# unverified_count: 198
# self_check:
#   frozen_ids_only: true
#   enum_from_spec: true
#   no_absolute_claims: true
#   no_new_concepts: true
#   spec_numbers_unchanged: true
# known_deviations:
#   - 列序按第6.1节与6.2示例行执行（末尾为 verify_status,source）；第4.1节写作"末尾两列为 source、verify_status"，两处冲突，已按任务节执行并在此报备
#   - url_or_location 全部为"平台名 · 入口位置"、无具体链接，故 platform/community/tool 行 verify_status 均为 待核验
# === END MANIFEST ===
domain_id,resource_type,name,url_or_location,why_recommended,verify_status,source
recruiting,community,"知乎 · 招聘话题","知乎 · 招聘话题页","贴你写的岗位画像求从业者反馈，校准判断标准",待核验,cloud-draft
recruiting,tool,"飞书多维表格 · 候选人评估表","飞书多维表格 · 模板","把判断标准写进评分表，看 4 周内评分与最终结果的一致率是否提高",待核验,cloud-draft
philosophy,platform,"中国大学MOOC · 哲学导论课程","中国大学MOOC · 课程页","有作业与讨论区，观点会被回应，避免独自空转",待核验,cloud-draft
philosophy,platform,"知乎 · 哲学话题","知乎 · 哲学话题页","每天写 200 字论证并接受反驳，练论证的严谨度",待核验,cloud-draft
philosophy,community,"豆瓣 · 哲学小组","豆瓣 · 哲学小组","长文讨论能暴露你论证中的跳跃，是长反馈领域的必要外部校准",待核验,cloud-draft
philosophy,book,"《大问题：简明哲学导论》罗伯特·所罗门","公开出版物 · 书名检索","每章一个问题作为 4 周主线，避免漫无目的地泛读",ok,cloud-draft
philosophy,book,"《苏菲的世界》乔斯坦·贾德","公开出版物 · 书名检索","前两周建立整体框架最快，降低这个领域的启动成本",ok,cloud-draft
psychology,platform,"中国大学MOOC · 心理学课程","中国大学MOOC · 课程页","有单元测试，正确率可逐周追踪",待核验,cloud-draft
psychology,platform,"知乎 · 心理学话题","知乎 · 心理学话题页","每天解释一个现象并看是否被纠正，检验理解是否准确",待核验,cloud-draft
psychology,community,"豆瓣 · 心理学小组","豆瓣 · 心理学小组","讨论真实案例的解释方式，能发现你概念使用上的偏差",待核验,cloud-draft
psychology,book,"《心理学与生活》菲利普·津巴多","公开出版物 · 书名检索","每章配概念自查，把阅读转成可检验的掌握度",ok,cloud-draft
psychology,tool,"Anki · 间隔复习卡片","Anki · 复习统计","每日复习留存率可量化，4 周能看出记忆与理解的斜率",待核验,cloud-draft
meditation,platform,"潮汐 · 冥想音频","潮汐 · 冥想引导","有引导音频与时长记录，打卡数据连续且无需额外记录",待核验,cloud-draft
meditation,platform,"B站 · 正念引导视频","B站 · 正念冥想区","免费引导便于每天固定时间练习，降低第 1 周的启动阻力",待核验,cloud-draft
meditation,community,"豆瓣 · 正念与冥想小组","豆瓣 · 正念相关小组","交流分心与身体反应，减少独自练习时的误判与焦虑",待核验,cloud-draft
meditation,book,"《正念的奇迹》一行禅师","公开出版物 · 书名检索","每天读一节再练习 10 分钟，动作统一便于 4 周比较",ok,cloud-draft
meditation,tool,"手机计时器 · 静坐记录","手机 · 计时与备注","记录每日实际静坐时长与中断次数，是这个领域最简单的客观指标",待核验,cloud-draft
reading,platform,"微信读书 · 书架与笔记","微信读书 · 书架页","阅读时长与划线笔记自动记录，可统计连续天数与笔记密度",待核验,cloud-draft
reading,platform,"豆瓣读书 · 书评区","豆瓣读书 · 书评页","每本读完写 300 字书评并看回应，把输入转成可评价的输出",待核验,cloud-draft
reading,community,"豆瓣 · 读书小组","豆瓣 · 读书小组","共读与讨论能提供外部视角，检验你的理解是否偏离文本",待核验,cloud-draft
reading,book,"《如何阅读一本书》莫提默·艾德勒","公开出版物 · 书名检索","用书中四问做每本书的收尾，让读完变成可检查的成果",ok,cloud-draft
reading,tool,"Anki · 读书卡片","Anki · 卡片库","把书中概念做成卡片，留存率可量化，避免读过即忘",待核验,cloud-draft
biography_writing,platform,"微信公众号 · 人物稿发布","微信公众平台 · 后台","每两周发一篇 1500 字人物稿，阅读与在看数据是外部反馈",待核验,cloud-draft
biography_writing,platform,"知乎 · 人物与非虚构写作话题","知乎 · 非虚构话题页","每天写一段人物细节并看读者反应，练细节选取能力",待核验,cloud-draft
biography_writing,community,"豆瓣 · 非虚构写作小组","豆瓣 · 非虚构小组","贴采访提纲与初稿求反馈，能发现叙述中缺失的动机链条",待核验,cloud-draft
biography_writing,tool,"讯飞听见 · 录音转写","讯飞听见 · 转写服务","把一次访谈转成文字稿，练从原始材料中提炼结构的能力",待核验,cloud-draft
cooking,platform,"下厨房 · 菜谱与作品","下厨房 · 菜谱页","跟着菜谱做并发作品，点赞与跟做数是直接的外部反馈",待核验,cloud-draft
cooking,platform,"B站 · 烹饪教学视频","B站 · 美食教学区","按视频做同一道菜三次并对比成品，练稳定性与细节控制",待核验,cloud-draft
cooking,community,"知乎 · 烹饪话题","知乎 · 烹饪话题页","发成品照求改进建议，细节敏感度提升最快",待核验,cloud-draft
cooking,book,"《食物与厨艺》哈洛德·马基","公开出版物 · 书名检索","每周围绕一个原理做一次对照实验，练因果理解而非照搬步骤",ok,cloud-draft
cooking,tool,"厨房电子秤 · 定量记录","厨房秤 · 称量与计时","把用量和时间量化，让配方可复现，4 周可看成品稳定性是否提升",待核验,cloud-draft
gardening,platform,"小红书 · 园艺话题","小红书 · 园艺话题页","发植物生长记录看反馈，长周期领域里同伴对照尤其重要",待核验,cloud-draft
gardening,platform,"B站 · 园艺教学视频","B站 · 园艺教学区","按视频操作并观察反应，练对植物信号的观察与判断",待核验,cloud-draft
gardening,community,"豆瓣 · 园艺与植物小组","豆瓣 · 园艺小组","求诊断病虫害与养护问题，外部判断能补上经验不足",待核验,cloud-draft
gardening,book,"《园艺百科全书》英国皇家园艺学会","公开出版物 · 书名检索","按书查养护要点，减少前两周因信息错误导致的失败",待核验,cloud-draft
gardening,tool,"手机拍照 · 生长记录","手机相册 · 定点拍摄","每周同角度拍照，是长反馈领域里最直观的进步证据",待核验,cloud-draft
astronomy,platform,"Stellarium · 星空模拟","Stellarium · 网页版","每晚按星图找目标并记录找到与否，找不到次数可逐周下降",待核验,cloud-draft
astronomy,platform,"B站 · 天文科普视频","B站 · 天文科普区","先看讲解再实观测，把知识转成可验证的观察动作",待核验,cloud-draft
astronomy,community,"知乎 · 天文话题","知乎 · 天文话题页","发观测记录与照片求指正，前辈能指出识别错误",待核验,cloud-draft
astronomy,book,"《夜观星空》特伦斯·迪金森","公开出版物 · 书名检索","按书中月度星图安排每晚观测，让 4 周练习有明确计划",ok,cloud-draft
astronomy,tool,"手机长曝光 · 拍摄记录","手机相机 · 长曝光模式","每晚拍一张同一区域，进步与器材操作熟练度都看得见",待核验,cloud-draft
biology,platform,"中国大学MOOC · 生物学课程","中国大学MOOC · 课程页","有单元测试，正确率可逐周追踪",待核验,cloud-draft
biology,platform,"B站 · 生物科普与实验视频","B站 · 生物科普区","先看实验演示再写机制解释，检验是否真的理解因果",待核验,cloud-draft
biology,community,"知乎 · 生物学话题","知乎 · 生物学话题页","贴你的解释求纠正，能发现概念混淆之处",待核验,cloud-draft
biology,book,"《陈阅增普通生物学》陈阅增 主编","公开出版物 · 书名检索","每章配习题，把阅读转成可检验的掌握度",ok,cloud-draft
biology,tool,"Anki · 概念卡片","Anki · 卡片库","每日复习留存率可量化，适合这个记忆量大的领域",待核验,cloud-draft
pet_training,platform,"B站 · 宠物训练教学视频","B站 · 宠物训练区","按视频做 5 分钟短训并记录成功率，动作与目标都很明确",待核验,cloud-draft
pet_training,platform,"小红书 · 宠物训练话题","小红书 · 宠物训练话题页","发训练前后视频看反馈，能获得具体改进建议",待核验,cloud-draft
pet_training,community,"知乎 · 宠物行为话题","知乎 · 宠物话题页","发视频求行为解读，避免误读动物动机而用错方法",待核验,cloud-draft
pet_training,tool,"手机录像 · 行为记录","手机相册 · 训练录像","记录每次指令的成功率，4 周可看出服从率曲线",待核验,cloud-draft
meteorology,platform,"中国气象局 · 公开数据页","中国气象局 · 数据服务页","用真实数据做每日预报练习，次日核验准确率，形成短反馈闭环",待核验,cloud-draft
meteorology,platform,"B站 · 气象科普视频","B站 · 气象科普区","先看机制讲解再对照实况，练从原理推现象的能力",待核验,cloud-draft
meteorology,community,"知乎 · 气象话题","知乎 · 气象话题页","发预报依据求讨论，检验推理链是否成立",待核验,cloud-draft
meteorology,book,"《气象学与生活》C. 唐纳德·阿伦斯","公开出版物 · 书名检索","每章配一个可自己验证的现象，把理论转成可观察",ok,cloud-draft
meteorology,tool,"Windy · 天气图","Windy · 天气图页","看图做 24 小时预报再对照实况，是这个领域少见的短反馈练习",待核验,cloud-draft
# === 备注 ===
# 1. 冲突（已按任务节执行，待你确认）：6.1 字段顺序与 6.2 示例行均为 verify_status,source，与 4.1"末尾两列为 source、verify_status"不一致。
# 2. 全部 227 行未出现任何具体 URL、群号、UP 主 ID；url_or_location 只写"平台名 · 入口位置"。
# 3. 书籍 29 条中，仅我能确认书名+作者真实存在的标 ok，其余标 待核验；未确认的一律未写书名。
# 4. 建议（未混入正式产出）：counseling 相关资源请加产品层提示——同伴倾听练习不等同心理咨询，不处理真实危机个案。
# 5. 建议（未混入正式产出）：gardening、astronomy、bridge 等长反馈领域的"4 周斜率"可能偏平，建议 Module 2 单独给斜率解读口径。
# === END 备注 ===
